Library	Initial_reads_aligned	Postfiltering_reads_aligned	Duplication_rate	Naive_coverage	BPR_coverage	Background	Reads_per_Mb	Percent_WC	Mode_GC	Mode_insert_size	Strandseq_quality*
na24149_c6_w5_single_3e8_S28_	4214165	3828536	22.70%	7.10%	3.60%	8.90%	506	46%	40%	147	poor
na24149_c6_w7_single_3e8_S29_	3740739	3452560	25.20%	6.20%	3.10%	3.40%	405	34%	39%	152	poor
na24149_c6_w9_single_3e8_S30_	930840	849378	8.10%	1.90%	0.90%	0.00%	138	100%	39%	148	poor
na24385_c7_w1_negctrl_3e8_S51_	4860	4344	1.20%	0.00%	0.00%	0.00%	0	54%	46%	150	empty
na24385_c7_w11_single_3e8_S56_	8562	7540	1.60%	0.00%	0.00%	0.00%	1	58%	42%	147	empty
na24385_c7_w13_single_3e8_S57_	9832121	8884744	32.40%	14.50%	7.20%	1.80%	1079	47%	39%	148	good
na24385_c7_w15_single_3e8_S58_	1059983	952870	8.80%	2.10%	1.10%	3.30%	154	44%	39%	149	good
na24385_c7_w17_single_3e8_S59_	175813	161924	4.50%	0.40%	0.20%	2.90%	28	30%	39%	148	good
na24385_c7_w19_single_3e8_S60_	9104757	8315440	27.20%	14.60%	7.20%	14.50%	960	53%	47%	149	poor
na24385_c7_w21_single_3e8_S61_	1385	1230	3.40%	0.00%	0.00%	33.30%	0	54%	43%	152	empty
na24385_c7_w23_single_3e8_S62_	4386319	3909170	22.10%	7.30%	3.60%	15.20%	513	50%	48%	148	poor
na24385_c7_w25_single_3e8_S63_	4798	4226	1.30%	0.00%	0.00%	0.00%	0	67%	43%	149	empty
na24385_c7_w27_single_3e8_S64_	2191404	1974080	14.80%	4.10%	2.00%	0.90%	297	44%	40%	148	good
na24385_c7_w29_single_3e8_S65_	350354	315242	4.90%	0.70%	0.40%	1.60%	52	42%	39%	147	good
na24385_c7_w3_single_3e8_S52_	9061	7964	2.80%	0.00%	0.00%	0.00%	1	67%	42%	149	empty
na24385_c7_w31_single_3e8_S66_	7433137	6783362	34.90%	10.60%	5.30%	6.30%	720	29%	40%	148	poor
na24385_c7_w33_single_3e8_S67_	3105206	2792690	17.10%	5.60%	2.80%	7.60%	367	35%	48%	148	poor
na24385_c7_w35_single_3e8_S68_	1509474	1376326	14.10%	2.90%	1.40%	3.90%	178	37%	39%	148	poor
na24385_c7_w37_single_3e8_S69_	4586102	4191188	20.30%	8.10%	4.00%	14.30%	506	55%	50%	149	poor
